fecha,empresa,close_last,close_vwap,volume_shares_day,turnover_value_day,n_trades_day,ret_lag_1,ret_lag_2,ret_lag_3,mom_3,mom_5,mom_10,vol_5,vol_10,regime_vol_ratio,ma_5,ma_10,ma_gap,price_vs_ma10,rsi_14,turnover_log1p,volume_log1p,avg_trade_size_log1p,amihud_5,days_since_trade,ret_fwd_h1,ret_fwd_h5,ret_fwd_h20,target_up_h1,target_up_h5,target_up_h20,target_up_h20_thr003
2023-12-19,CORPORACION FAVORITA C.A.,1.73,1.7101468081075961,10558.0,18055.73,11.0,0.005830920310793144,-0.011628037995119099,0.005797117684325915,-6.331740687315346e-17,-6.331740687315346e-17,-0.005797117684326002,0.008216304212121888,0.008864019411928109,0.9269275967670454,1.722,1.722,0.0,-0.0011614401864105117,41.23642808908531,9.801273747454147,9.264733855806515,6.867785194210886,1.3233084446712182e-07,1.0,-0.005797117684325958,0.0,-0.03529778208102382,0.0,0.0,0.0,0.0
2023-12-20,CORPORACION FAVORITA C.A.,1.72,1.7140166107739068,108243.0,185530.3,16.0,0.005797117684325915,0.005830920310793144,-0.011628037995119099,-6.331740687315346e-17,-6.331740687315346e-17,-8.760353553682876e-17,0.008216304212121888,0.009092761419001021,0.9036093473264105,1.722,1.722,0.0,0.0046457607427381475,47.080840063819224,12.130978879949428,11.592143217076858,8.819693061046479,1.7857151781915967e-07,1.0,0.005797117684325915,-0.0175957618903796,-0.011696039763191298,1.0,0.0,0.0,0.0
2023-12-21,CORPORACION FAVORITA C.A.,1.73,1.7043985256338654,8953.0,15259.479999999998,12.0,-0.005797117684325958,0.005797117684325915,0.005830920310793144,0.005830920310793079,-6.331740687315346e-17,-0.01156082240107618,0.008216304212121888,0.009013112743423554,0.9115945229027946,1.722,1.72,0.0020000000000000018,-5.814237979961945e-13,47.064910699332515,9.633021759127505,9.09985563880091,6.61617673625115,1.5799062647565503e-07,1.0,-0.011628037995119099,0.0,-0.023392879574705462,0.0,0.0,0.0,0.0
2023-12-22,CORPORACION FAVORITA C.A.,1.71,1.6969140983606557,7625.0,12938.97,7.0,0.005797117684325915,-0.005797117684325958,0.005797117684325915,0.0057971176843258495,-6.331740687315346e-17,0.005797117684325706,0.008216304212121888,0.008439881350548387,0.9735094452026294,1.722,1.721,0.0009999999999998899,0.0052295177216703514,52.935089286490886,9.468076249659623,8.939318740417509,6.994195064072667,2.2346894685337637e-07,1.0,-0.005865119452398134,-0.005865119452398134,-0.017699577099400975,0.0,0.0,0.0,0.0
2023-12-26,CORPORACION FAVORITA C.A.,1.7,1.7003847557637326,32878.0,55905.25,8.0,-0.011628037995119099,0.005797117684325915,-0.005797117684325958,-0.011628037995119165,-6.245004513516506e-17,0.005865119452397906,0.008216304212121888,0.008428911825782166,0.9747763864387886,1.722,1.722,0.0,-0.006968641115559282,44.44093681426758,10.93143145969113,10.400589435082308,8.321360772594211,3.524062681598806e-07,4.0,0.01749315744751712,0.0,0.079137320558724,1.0,0.0,1.0,1.0
2023-12-27,CORPORACION FAVORITA C.A.,1.73,1.700516501650165,42420.0,72135.91,6.0,-0.005865119452398134,-0.011628037995119099,0.005797117684325915,-0.011696039763191342,-0.01169603976319134,-0.011696039763191463,0.0077953695376835,0.007650573683318117,1.0189261432331773,1.718,1.72,-0.0020000000000000018,-0.011627906977318858,42.08106327989642,11.186321120160615,10.655398801626767,8.863757191604074,3.4713959683389736e-07,1.0,-0.023392879574705462,-0.01749315744751723,-0.029327615094520063,0.0,0.0,0.0,0.0
2023-12-28,CORPORACION FAVORITA C.A.,1.69,1.695163049785308,8617.0,14607.22,4.0,0.01749315744751712,-0.005865119452398134,-0.011628037995119099,-1.3530843112619095e-16,-1.3530843112619095e-16,-2.6020852139652106e-16,0.01164940554472959,0.009503597083951553,1.225789081817853,1.718,1.72,-0.0020000000000000018,0.005813953487787238,47.64132298283464,9.58933966296231,9.061608318175784,7.675662005089785,3.314294269450959e-07,1.0,0.023392879574705594,-0.005934735519814578,-0.005934735519814578,1.0,0.0,0.0,0.0
2023-12-29,CORPORACION FAVORITA C.A.,1.73,1.7023223118979431,19205.0,32693.1,10.0,-0.023392879574705462,0.01749315744751712,-0.005865119452398134,-0.0117648415795865,-0.01759576189037964,-0.017595761890379764,0.015768106039030696,0.011997797832691753,1.3142500196787203,1.7119999999999997,1.717,-0.0050000000000003375,-0.015725101922530293,43.435051081048236,10.394949912471674,9.862978009197919,7.560861410004799,6.454503084250357e-07,1.0,-0.01749315744751723,-0.01749315744751723,-0.023392879574705462,0.0,0.0,0.0,0.0
2024-01-02,CORPORACION FAVORITA C.A.,1.7,1.7232265677680374,5932.0,10222.179999999998,6.0,0.023392879574705594,-0.023392879574705462,0.01749315744751712,0.017493157447517227,4.163336342344337e-17,-8.326672684688674e-17,0.01981208646813737,0.014298817746421218,1.3855751446101523,1.7120000000000002,1.7169999999999999,-0.004999999999999671,0.007571345369244309,56.00273970820396,9.232412969957968,8.688285266258644,6.897368186095483,7.125762825144769e-07,4.0,0.0,0.0,-0.011834457647002796,0.0,0.0,0.0,0.0
2024-01-03,CORPORACION FAVORITA C.A.,1.7,1.6952008841503057,15382.0,26075.58,4.0,-0.01749315744751723,0.023392879574705594,-0.023392879574705462,-0.017493157447517123,-0.0058651194523980914,-0.005865119452398216,0.020820629466428972,0.014934914454082784,1.394090975816946,1.7100000000000002,1.716,-0.005999999999999783,-0.009324009324586657,46.14009655919069,10.168792872472322,9.64101828255575,8.254918922898739,8.75078848997919e-07,1.0,0.0,0.0,-0.011834457647002796,0.0,0.0,0.0,0.0
