id,company,model_family,model_name,model_version,horizonte,fecha_t,close_t,y_pred,proba_up,status,fecha_t5,close_t5,ret_fwd_h5,Fecha_Datos_Usados,Observacion_Datos
3_CF_Clasico_original,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,original,h5,2026-04-03,2.0,0,0.3528812942706034,FALLO,2026-04-10,2.04,0.0198026272961797,2026-04-10,Datos del día viernes (2026-04-10).
3_CF_Cuantico_original,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,original,h5,2026-04-03,2.0,0,0.3848538380000851,FALLO,2026-04-10,2.04,0.0198026272961797,2026-04-10,Datos del día viernes (2026-04-10).
4_BG_Clasico_original,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-04-10,2.25,1,0.8307613211422786,FALLO,2026-04-17,2.25,0.0,2026-04-17,Datos del día viernes (2026-04-17).
4_BG_Cuantico_original,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,original,h5,2026-04-10,2.25,1,0.3614413054107221,FALLO,2026-04-17,2.25,0.0,2026-04-17,Datos del día viernes (2026-04-17).
4_CF_Clasico_original,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,original,h5,2026-04-10,2.04,1,0.3930335132554227,FALLO,2026-04-17,2.02,-0.0098522964430115,2026-04-17,Datos del día viernes (2026-04-17).
4_CF_Cuantico_original,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,original,h5,2026-04-10,2.04,0,0.3605989622813557,ACIERTO,2026-04-17,2.02,-0.0098522964430115,2026-04-17,Datos del día viernes (2026-04-17).
5_BG_Clasico_retrained_20260523,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-04-17,2.25,1,0.828462114032658,FALLO,2026-04-24,2.24,-0.004454350349380197,2026-04-24,Datos del día viernes (2026-04-24).
5_BG_Cuantico_retrained_20260523,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-04-17,2.25,0,0.45306007338175597,ACIERTO,2026-04-24,2.24,-0.004454350349380197,2026-04-24,Datos del día viernes (2026-04-24).
5_CF_Clasico_retrained_20260523,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-04-17,2.02,1,0.4589185744692736,ACIERTO,2026-04-24,2.03,0.004938281640582577,2026-04-24,Datos del día viernes (2026-04-24).
5_CF_Cuantico_retrained_20260523,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-04-17,2.02,1,0.35501398306814913,ACIERTO,2026-04-24,2.03,0.004938281640582577,2026-04-24,Datos del día viernes (2026-04-24).
6_BG_Clasico_retrained_20260523,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-04-24,2.24,1,0.8156900886892028,ACIERTO,2026-05-01,2.25,0.004454350349380153,2026-04-29,Usando datos del día miércoles (2026-04-29) por ausencia en viernes.
6_BG_Cuantico_retrained_20260523,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-04-24,2.24,0,0.4358048891754643,FALLO,2026-05-01,2.25,0.004454350349380153,2026-04-29,Usando datos del día miércoles (2026-04-29) por ausencia en viernes.
6_CF_Clasico_retrained_20260523,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-04-24,2.03,1,0.45823983787429784,FALLO,2026-05-01,2.02,-0.004938281640582454,2026-04-28,Usando datos del día martes (2026-04-28) por ausencia en viernes.
6_CF_Cuantico_retrained_20260523,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-04-24,2.03,0,0.3695948401577264,ACIERTO,2026-05-01,2.02,-0.004938281640582454,2026-04-28,Usando datos del día martes (2026-04-28) por ausencia en viernes.
7_BG_Clasico_retrained_20260523,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-05-01,2.25,1,0.8411910486673385,ACIERTO,2026-05-08,2.35,0.04348511193973889,2026-05-08,Datos del día viernes (2026-05-08).
7_BG_Cuantico_retrained_20260523,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-05-01,2.25,0,0.45574167349249095,FALLO,2026-05-08,2.35,0.04348511193973889,2026-05-08,Datos del día viernes (2026-05-08).
7_CF_Clasico_retrained_20260523,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-05-01,2.02,0,0.3629023350224553,ACIERTO,2026-05-08,2.0,-0.009950330853168092,2026-05-08,Datos del día viernes (2026-05-08).
7_CF_Cuantico_retrained_20260523,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-05-01,2.02,1,0.35061548573548945,FALLO,2026-05-08,2.0,-0.009950330853168092,2026-05-08,Datos del día viernes (2026-05-08).
8_BG_Clasico_retrained_20260523,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-05-08,2.35,1,0.8084128717330487,FALLO,2026-05-15,2.25,-0.04348511193973889,2026-05-15,Datos del día viernes (2026-05-15).
8_BG_Cuantico_retrained_20260523,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-05-08,2.35,1,0.3877278783505927,FALLO,2026-05-15,2.25,-0.04348511193973889,2026-05-15,Datos del día viernes (2026-05-15).
8_CF_Clasico_retrained_20260523,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-05-08,2.0,1,0.3981146581551775,FALLO,2026-05-15,2.0,0.0,2026-05-15,Datos del día viernes (2026-05-15).
8_CF_Cuantico_retrained_20260523,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-05-08,2.0,0,0.3702291604720697,ACIERTO,2026-05-15,2.0,0.0,2026-05-15,Datos del día viernes (2026-05-15).
9_BG_Clasico_retrained_20260523,BANCO GUAYAQUIL S.A.,classical,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-05-15,2.25,1,0.884749238676914,ACIERTO,2026-05-22,2.37,0.051959738930711166,2026-05-22,Datos del día viernes (2026-05-22).
9_BG_Cuantico_retrained_20260523,BANCO GUAYAQUIL S.A.,quantum,BANCO_GUAYAQUIL_SA_h5,retrained_20260523,h5,2026-05-15,2.25,0,0.44338810646452176,FALLO,2026-05-22,2.37,0.051959738930711166,2026-05-22,Datos del día viernes (2026-05-22).
9_CF_Clasico_retrained_20260523,CORPORACION FAVORITA C.A.,classical,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-05-15,2.0,0,0.3172723588867042,ACIERTO,2026-05-22,2.0,0.0,2026-05-22,Datos del día viernes (2026-05-22).
9_CF_Cuantico_retrained_20260523,CORPORACION FAVORITA C.A.,quantum,CORPORACION_FAVORITA_CA_h5,retrained_20260523,h5,2026-05-15,2.0,0,0.36293206935329536,ACIERTO,2026-05-22,2.0,0.0,2026-05-22,Datos del día viernes (2026-05-22).
