FECHA NEGOCIACIÓN;TÍTULO;EMISOR;NÚMERO DE ACCIONES;V. NOM. UNITARIO;PRECIO;VALOR NOMINAL;VALOR EFECTO;CASA COMPRADORA;CASA VENDEDORA;BOLSA
15/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;327.00;1.00;0.9600;327.00;313.92;SILVERCROSS;SILVERCROSS;BVG
15/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;760.00;1.00;0.9600;760.00;729.60;SILVERCROSS;SILVERCROSS;BVG
15/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;1.298.00;1.00;0.9600;1.298.00;1.246.08;SILVERCROSS;SILVERCROSS;BVG
15/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;303.00;1.00;2.5300;303.00;766.59;CASAREAL;CASAREAL;BVG
15/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;180.00;1.00;2.5200;180.00;453.60;METROVALORES;SANTA FE;BVG
15/01/2019;ACCIONES;INVERSANCARLOS S.A.;24.805.00;1.00;1.0000;24.805.00;24.805.00;RyH ASOCIADOS;RyH ASOCIADOS;BVG
15/01/2019;ACCIONES;INVERSANCARLOS S.A.;5.000.00;1.00;1.0000;5.000.00;5.000.00;RyH ASOCIADOS;RyH ASOCIADOS;BVG
15/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;4.00;1.000.00;1000.0000;4.000.00;4.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
15/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;2.00;1.000.00;1000.0000;2.000.00;2.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
15/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;18.00;1.000.00;1000.0000;18.000.00;18.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
15/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;184.00;1.00;2.5200;184.00;463.68;METROVALORES;ADVFIN S.A.;BVG
15/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.000.00;1.00;2.5200;1.000.00;2.520.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
16/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;92.00;1.00;2.5200;92.00;231.84;METROVALORES;METROVALORES;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;2.697.00;1.00;0.9400;2.697.00;2.535.18;SILVERCROSS;ORION;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;1.547.00;1.00;0.9400;1.547.00;1.454.18;SILVERCROSS;ORION;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;15.000.00;1.00;0.9600;15.000.00;14.400.00;SILVERCROSS;SANTA FE;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;10.000.00;1.00;0.9500;10.000.00;9.500.00;SILVERCROSS;ADVFIN S.A.;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;11.000.00;1.00;0.9600;11.000.00;10.560.00;SILVERCROSS;ORION;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;2.697.00;1.00;0.9600;2.697.00;2.589.12;SILVERCROSS;SILVERCROSS;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;1.547.00;1.00;0.9600;1.547.00;1.485.12;SILVERCROSS;SILVERCROSS;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;31.261.00;1.00;0.9600;31.261.00;30.010.56;SILVERCROSS;SILVERCROSS;BVG
16/01/2019;ACCIONES;HOLDING TONICORP S.A.;1.504.00;1.00;4.0000;1.504.00;6.016.00;CITADEL;PLUSBURSÁTIL;BVG
16/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;5.115.00;1.00;0.9700;5.115.00;4.961.55;MERCAPITAL;ORION;BVG
16/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;23.068.00;1.00;2.5300;23.068.00;58.362.04;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.467.00;1.00;2.6000;2.467.00;6.414.20;MERCAPITAL;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.467.00;1.00;2.6000;2.467.00;6.414.20;MERCAPITAL;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.467.00;1.00;2.6000;2.467.00;6.414.20;MERCAPITAL;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;2.467.00;1.00;2.6000;2.467.00;6.414.20;MERCAPITAL;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;HOLDING TONICORP S.A.;86.00;1.00;4.7200;86.00;405.92;CITADEL;SANTA FE;BVG
17/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;746.00;1.00;2.6000;746.00;1.939.60;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;SOCIEDAD AGRICOLA E INDUSTRIAL SAN CARLOS S.A.;5.500.00;1.00;0.7500;5.500.00;4.125.00;PLUSBURSÁTIL;PLUSBURSÁTIL;BVG
17/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;1.00;1.000.00;1000.0000;1.000.00;1.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
17/01/2019;ACCIONES;BIENES RAÍCES E INVERSIONES DE CAPITAL BRIKAPITAL S.A.;1.00;1.000.00;1000.0000;1.000.00;1.000.00;ACCIONES Y VALORES;ACCIONES Y VALORES;BVG
18/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;4.893.00;1.00;0.9600;4.893.00;4.697.28;SILVERCROSS;SILVERCROSS;BVG
18/01/2019;ACCIONES;BANCO GUAYAQUIL S.A.;15.623.00;1.00;0.9600;15.623.00;14.998.08;SILVERCROSS;ORION;BVG
18/01/2019;ACCIONES;CORPORACION FAVORITA C.A.;1.240.00;1.00;2.5800;1.240.00;3.199.20;ORION;ORION;BVG
