empresa,horizonte,window_id,model,kernel,best_cv_f1,best_params,n_train,n_test,accuracy,directional_accuracy,precision,recall,f1
BANCO GUAYAQUIL S.A.,h1,15,baseline_sign_prev,baseline,,,570,30,0.7333333333333333,0.7333333333333333,0.42857142857142855,0.42857142857142855,0.42857142857142855
BANCO GUAYAQUIL S.A.,h1,15,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",570,30,0.7,0.7,0.375,0.42857142857142855,0.4
BANCO GUAYAQUIL S.A.,h1,15,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",570,30,0.4666666666666667,0.4666666666666667,0.2,0.42857142857142855,0.2727272727272727
BANCO GUAYAQUIL S.A.,h1,15,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",570,30,0.7666666666666667,0.7666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,16,baseline_majority,baseline,,,600,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,16,baseline_sign_prev,baseline,,,600,30,0.43333333333333335,0.43333333333333335,0.1,0.1111111111111111,0.10526315789473684
BANCO GUAYAQUIL S.A.,h1,16,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",600,30,0.43333333333333335,0.43333333333333335,0.21428571428571427,0.3333333333333333,0.2608695652173913
BANCO GUAYAQUIL S.A.,h1,16,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",600,30,0.36666666666666664,0.36666666666666664,0.1875,0.3333333333333333,0.24
BANCO GUAYAQUIL S.A.,h1,16,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",600,30,0.5,0.5,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,17,baseline_majority,baseline,,,630,30,0.6,0.6,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,17,baseline_sign_prev,baseline,,,630,30,0.36666666666666664,0.36666666666666664,0.18181818181818182,0.16666666666666666,0.17391304347826086
BANCO GUAYAQUIL S.A.,h1,17,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",630,30,0.43333333333333335,0.43333333333333335,0.3076923076923077,0.3333333333333333,0.32
BANCO GUAYAQUIL S.A.,h1,17,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",630,30,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333
BANCO GUAYAQUIL S.A.,h1,17,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",630,30,0.6,0.6,0.5,0.16666666666666666,0.25
BANCO GUAYAQUIL S.A.,h1,18,baseline_majority,baseline,,,660,30,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,18,baseline_sign_prev,baseline,,,660,30,0.5333333333333333,0.5333333333333333,0.36363636363636365,0.36363636363636365,0.36363636363636365
BANCO GUAYAQUIL S.A.,h1,18,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",660,30,0.7,0.7,0.75,0.2727272727272727,0.4
BANCO GUAYAQUIL S.A.,h1,18,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",660,30,0.6333333333333333,0.6333333333333333,0.5,0.18181818181818182,0.26666666666666666
BANCO GUAYAQUIL S.A.,h1,18,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",660,30,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,19,baseline_majority,baseline,,,690,30,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,19,baseline_sign_prev,baseline,,,690,30,0.4666666666666667,0.4666666666666667,0.2727272727272727,0.2727272727272727,0.2727272727272727
BANCO GUAYAQUIL S.A.,h1,19,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",690,30,0.6666666666666666,0.6666666666666666,0.6,0.2727272727272727,0.375
BANCO GUAYAQUIL S.A.,h1,19,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",690,30,0.6,0.6,0.4444444444444444,0.36363636363636365,0.4
BANCO GUAYAQUIL S.A.,h1,19,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",690,30,0.6333333333333333,0.6333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,20,baseline_majority,baseline,,,720,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,20,baseline_sign_prev,baseline,,,720,30,0.5666666666666667,0.5666666666666667,0.3,0.3333333333333333,0.3157894736842105
BANCO GUAYAQUIL S.A.,h1,20,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",720,30,0.7666666666666667,0.7666666666666667,0.625,0.5555555555555556,0.5882352941176471
BANCO GUAYAQUIL S.A.,h1,20,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",720,30,0.6333333333333333,0.6333333333333333,0.42857142857142855,0.6666666666666666,0.5217391304347826
BANCO GUAYAQUIL S.A.,h1,20,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",720,30,0.7,0.7,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,21,baseline_majority,baseline,,,750,30,0.6,0.6,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,21,baseline_sign_prev,baseline,,,750,30,0.6333333333333333,0.6333333333333333,0.5454545454545454,0.5,0.5217391304347826
BANCO GUAYAQUIL S.A.,h1,21,svc_linear,linear,0.2936026936026936,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear'}",750,30,0.7,0.7,0.6666666666666666,0.5,0.5714285714285714
BANCO GUAYAQUIL S.A.,h1,21,svc_rbf,rbf,0.3601953601953602,"{'C': 1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",750,30,0.4666666666666667,0.4666666666666667,0.16666666666666666,0.08333333333333333,0.1111111111111111
BANCO GUAYAQUIL S.A.,h1,21,svc_poly,poly,0.35810023310023303,"{'C': 10, 'class_weight': None, 'coef0': 0.5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",750,30,0.6,0.6,0.5,0.25,0.3333333333333333
BANCO GUAYAQUIL S.A.,h1,22,baseline_majority,baseline,,,780,30,0.5333333333333333,0.5333333333333333,0.0,0.0,0.0
BANCO GUAYAQUIL S.A.,h1,22,baseline_sign_prev,baseline,,,780,30,0.6,0.6,0.5714285714285714,0.5714285714285714,0.5714285714285714
